,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
117,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,66,Luka Modrić,Real Madrid,0.03,,Blocked,29,Right Foot,,Karim Benzema,Pass (Live),Eden Hazard,Pass (Live)
118,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,69,Karim Benzema,Real Madrid,0.08,,Blocked,13,Right Foot,,Eden Hazard,Pass (Live),Luka Modrić,Pass (Live)
119,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,73,José Carlos Lazo,Almería,0.02,0.02,Saved,30,Right Foot,,Samu Costa,Pass (Live),Srđan Babić,Pass (Live)
120,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,75,David Alaba,Real Madrid,0.07,0.55,Goal,24,Left Foot,Free kick,Luka Modrić,Fouled,Federico Valverde,Pass (Live)
121,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,85,José Carlos Lazo,Almería,0.04,,Blocked,19,Left Foot,,Arnau Puigmal,Pass (Live),Samu Costa,Pass (Live)
122,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,85,Curro,Almería,0.09,0.03,Saved,16,Right Foot,,José Carlos Lazo,Shot,,
123,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,88,Lucas Vázquez,Real Madrid,0.03,0.15,Saved,17,Right Foot,Volley,David Alaba,Pass (Live),Karim Benzema,Pass (Live)
124,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,90+2,Juan Brandáriz,Almería,0.17,,Off Target,9,Head,,Curro,Pass (Dead),José Carlos Lazo,Pass (Live)
125,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,90+3,Rodrigo Ely,Almería,0.04,0.05,Saved,12,Head,,Curro,Pass (Dead),José Carlos Lazo,Fouled
126,ESP-La Liga,2223,2022-08-14 Cádiz-Real Sociedad,2,Anthony Lozano,Cádiz,0.03,0.07,Saved,13,Right Foot,,Santiago Arzamendia,Pass (Live),José Mari,Pass (Live)
127,ESP-La Liga,2223,2022-08-14 Cádiz-Real Sociedad,16,Alexander Isak,Real Sociedad,0.03,,Blocked,15,Left Foot,,Takefusa Kubo,Pass (Live),Diego Rico,Tackle
128,ESP-La Liga,2223,2022-08-14 Cádiz-Real Sociedad,16,Santiago Arzamendia,Cádiz,0.03,,Off Target,20,Left Foot,,José Mari,Pass (Live),,
